from_station_key,to_station_key,edge_type,distance_band
STN_0001,STN_0067,same_corridor,1-5mi
STN_0001,STN_0087,proximity,5-15mi
STN_0002,STN_0032,same_corridor,5-15mi
STN_0002,STN_0095,same_corridor,1-5mi
STN_0002,STN_0100,proximity,1-5mi
STN_0003,STN_0017,proximity,1-5mi
STN_0003,STN_0029,proximity,1-5mi
STN_0003,STN_0045,proximity,1-5mi
STN_0003,STN_0084,proximity,1-5mi
STN_0004,STN_0026,proximity,1-5mi
STN_0004,STN_0070,same_corridor,1-5mi
STN_0005,STN_0071,proximity,1-5mi
STN_0005,STN_0077,proximity,1-5mi
STN_0005,STN_0111,proximity,1-5mi
STN_0006,STN_0008,proximity,1-5mi
STN_0006,STN_0099,proximity,1-5mi
STN_0006,STN_0126,proximity,1-5mi
STN_0007,STN_0046,proximity,1-5mi
STN_0007,STN_0076,proximity,1-5mi
STN_0007,STN_0079,same_corridor,1-5mi
STN_0007,STN_0103,proximity,1-5mi
STN_0007,STN_0121,same_corridor,5-15mi
STN_0008,STN_0123,same_corridor,1-5mi
STN_0009,STN_0016,proximity,1-5mi
STN_0009,STN_0081,proximity,1-5mi
STN_0009,STN_0090,proximity,5-15mi
STN_0010,STN_0035,proximity,5-15mi
STN_0010,STN_0091,proximity,5-15mi
STN_0010,STN_0123,proximity,5-15mi
STN_0011,STN_0063,proximity,<=1mi
STN_0011,STN_0096,proximity,1-5mi
STN_0011,STN_0122,same_corridor,1-5mi
STN_0012,STN_0080,proximity,1-5mi
STN_0012,STN_0093,same_corridor,1-5mi
STN_0012,STN_0125,proximity,1-5mi
STN_0013,STN_0039,proximity,1-5mi
STN_0013,STN_0043,proximity,1-5mi
STN_0013,STN_0107,proximity,1-5mi
STN_0014,STN_0101,proximity,5-15mi
STN_0014,STN_0110,same_corridor,1-5mi
STN_0014,STN_0121,proximity,1-5mi
STN_0015,STN_0122,same_corridor,1-5mi
STN_0015,STN_0125,proximity,1-5mi
STN_0016,STN_0061,proximity,<=1mi
STN_0016,STN_0081,proximity,1-5mi
STN_0016,STN_0100,proximity,<=1mi
STN_0017,STN_0084,same_corridor,1-5mi
STN_0018,STN_0031,proximity,5-15mi
STN_0018,STN_0069,proximity,5-15mi
STN_0018,STN_0104,proximity,1-5mi
STN_0019,STN_0041,proximity,1-5mi
STN_0019,STN_0044,proximity,1-5mi
STN_0019,STN_0058,proximity,1-5mi
STN_0019,STN_0083,proximity,1-5mi
STN_0020,STN_0076,proximity,1-5mi
STN_0020,STN_0103,proximity,1-5mi
STN_0021,STN_0044,proximity,1-5mi
STN_0021,STN_0078,proximity,1-5mi
STN_0022,STN_0036,proximity,1-5mi
STN_0022,STN_0037,proximity,1-5mi
STN_0022,STN_0056,proximity,5-15mi
STN_0023,STN_0025,proximity,<=1mi
STN_0023,STN_0040,same_corridor,<=1mi
STN_0024,STN_0031,same_corridor,1-5mi
STN_0024,STN_0051,proximity,5-15mi
STN_0024,STN_0091,proximity,5-15mi
STN_0025,STN_0040,proximity,1-5mi
STN_0026,STN_0070,proximity,1-5mi
STN_0027,STN_0083,proximity,5-15mi
STN_0027,STN_0097,proximity,5-15mi
STN_0028,STN_0055,proximity,1-5mi
STN_0028,STN_0057,same_corridor,<=1mi
STN_0028,STN_0117,proximity,<=1mi
STN_0028,STN_0118,proximity,<=1mi
STN_0029,STN_0045,proximity,1-5mi
STN_0029,STN_0048,proximity,<=1mi
STN_0030,STN_0078,proximity,1-5mi
STN_0030,STN_0098,proximity,1-5mi
STN_0030,STN_0107,proximity,1-5mi
STN_0032,STN_0046,same_corridor,5-15mi
STN_0032,STN_0100,proximity,1-5mi
STN_0032,STN_0109,proximity,1-5mi
STN_0033,STN_0034,proximity,5-15mi
STN_0033,STN_0054,same_corridor,5-15mi
STN_0033,STN_0112,proximity,1-5mi
STN_0033,STN_0126,same_corridor,5-15mi
STN_0034,STN_0099,proximity,1-5mi
STN_0034,STN_0126,proximity,1-5mi
STN_0035,STN_0106,proximity,5-15mi
STN_0036,STN_0037,same_corridor,<=1mi
STN_0036,STN_0095,same_corridor,1-5mi
STN_0038,STN_0064,proximity,1-5mi
STN_0038,STN_0065,same_corridor,<=1mi
STN_0038,STN_0071,same_corridor,<=1mi
STN_0038,STN_0088,proximity,1-5mi
